nombre,id,timestamp,body,blackout
PP,1927696446473519281,2025-05-28 14:00:22,Un mes después del apagón lo único que está claro es que España se apaga por la izquierda. https://t.co/eysmhRmE8Q,0
PP,1927694159374082297,2025-05-28 13:51:17,Estamos viendo la guerra sucia del PSOE atacando a todos los que investigan la corrupción del entorno de Sánchez.    🗣️ @EsterMunoz85 en @DebatAlRojoVivo https://t.co/AWz2zgizbX,0
PP,1927669780644851802,2025-05-28 12:14:24,Un día más en la oficina.    Hay que echarlos. https://t.co/kKQy8F1I7e,0
PP,1927653260451557457,2025-05-28 11:08:46,"El Gobierno ha hecho un recorte millonario en el Plan Corresponsables.    🗣️ @AnaAlos: lejos de avanzar en igualdad‚ han usado a las mujeres como arma política."" https://t.co/qH8QHlemK7""",0
PP,1927638349331718213,2025-05-28 10:09:30,¿Cuántos escándalos de corrupción puede aguantar este Gobierno?    España merece una política mejor. https://t.co/lw66h9UcjH,0
PP,1927632100942823720,2025-05-28 09:44:41,Sumar se está comiendo con patatas la corrupción del Gobierno.    🗣️ @eliasbendodo: Sra. Díaz‚ ¿hasta cuándo va a seguir tapándolo? https://t.co/yZkf7F6GpF,0
PP,1927630419362537951,2025-05-28 09:38:00,Frente a los titulares triunfalistas del Gobierno‚ la realidad ⤵️ https://t.co/VW1I0J1EUD,0
PP,1927628662452412504,2025-05-28 09:31:01,¿El Caso de Jessica y el hermano de Sánchez era un proyecto piloto de jornada reducida?    Les llegaba el sueldo a casa y no habían pisado el despacho. https://t.co/4J09Sir0Pm,0
PP,1927603240440312198,2025-05-28 07:50:00,☕️ Buenos días. Esta es nuestra agenda 📆 para el día de hoy👇    https://t.co/qKzNTmL97F https://t.co/l7ZMrYWNIB,0
PP,1927393232641544701,2025-05-27 17:55:30,¿La Fiscalía de quién depende? Pues ya está. https://t.co/0RoeN1GEiB,0
PP,1927322098583601588,2025-05-27 13:12:50,Las instituciones no pueden servir a los intereses de un presidente o de los presuntos delincuentes que le rodean. https://t.co/XOtkDYN9YL,0
PP,1927298719776469237,2025-05-27 11:39:56,En el PSOE no conocen de nada a Leire Díez. https://t.co/sNhjSUSPTk,0
PP,1927240852595687732,2025-05-27 07:50:00,☕️ Buenos días. Esta es nuestra agenda 📆 para el día de hoy👇    https://t.co/qKzNTmL97F https://t.co/kPifMQXvH6,0
PP,1927018795245211838,2025-05-26 17:07:37,Dice el PSOE en su comunicado que ellos no tienen nada que ver con Leire Díez.    Pues que hablen con seguridad‚ porque se les ha colado varias veces en Ferraz. https://t.co/TABqHbdrtp,0
PP,1926980085568926098,2025-05-26 14:33:48,La operación de acoso del PSOE contra la UCO por investigar la corrupción es propia de una organización criminal.    @bsemper https://t.co/6CNeBmb19o,0
PP,1926935709727752629,2025-05-26 11:37:28,El pueblo español es un pueblo decente y no merece un gobierno indecente.    🗣️ @NunezFeijoo en @programadear https://t.co/YYFbV8odRF,0
